frame,detected,class_name,confidence,evidence_image
frame_0000.jpg,True,Pothole,68.4,evidence/all_detections\detected_frame_0000.jpg
frame_0001.jpg,True,Pothole,73.58,evidence/all_detections\detected_frame_0001.jpg
frame_0002.jpg,False,,,
frame_0003.jpg,False,,,
frame_0004.jpg,True,Pothole,47.83,evidence/all_detections\detected_frame_0004.jpg
frame_0005.jpg,True,Pothole,55.82,evidence/all_detections\detected_frame_0005.jpg
frame_0006.jpg,True,Pothole,46.49,evidence/all_detections\detected_frame_0006.jpg
frame_0007.jpg,False,,,
frame_0008.jpg,False,,,
frame_0009.jpg,False,,,
frame_0010.jpg,False,,,
frame_0011.jpg,False,,,
frame_0012.jpg,False,,,
frame_0013.jpg,False,,,
frame_0014.jpg,False,,,
frame_0015.jpg,True,Pothole,40.67,evidence/all_detections\detected_frame_0015.jpg
frame_0016.jpg,True,Pothole,74.98,evidence/all_detections\detected_frame_0016.jpg
frame_0017.jpg,True,Pothole,77.49,evidence/all_detections\detected_frame_0017.jpg
frame_0018.jpg,True,Pothole,77.04,evidence/all_detections\detected_frame_0018.jpg
frame_0019.jpg,True,Pothole,69.7,evidence/all_detections\detected_frame_0019.jpg
frame_0020.jpg,False,,,
frame_0021.jpg,True,Pothole,56.05,evidence/all_detections\detected_frame_0021.jpg
frame_0022.jpg,False,,,
frame_0023.jpg,True,Pothole,60.27,evidence/all_detections\detected_frame_0023.jpg
frame_0024.jpg,False,,,
frame_0025.jpg,False,,,
frame_0026.jpg,False,,,
